beta_hat,se_classic,se_robust,p_value,ci_low,ci_high,reject,n,scenario
-0.05488824516306948,0.028986766572839447,0.02770183156830255,0.05886249599677888,-0.11183967543889956,0.0020631851127606085,0,500,heteroskedastic
-0.023734588040643798,0.028188731701229812,0.02768648865607755,0.4001985433412256,-0.07911808809445516,0.03164891201316755,0,500,heteroskedastic
0.017162658488294624,0.02677967765118316,0.02518659757254926,0.5218930582828794,-0.03545241814428217,0.06977773512087142,0,500,heteroskedastic
-0.02565815249661516,0.0286050738595394,0.027546503954439864,0.3701634928601042,-0.0818596562191101,0.030543351225879773,0,500,heteroskedastic
0.017476034239971773,0.026952108080897264,0.027801063996587893,0.5170182373021759,-0.03547782317971412,0.07042989165965766,0,500,heteroskedastic
0.027646798197613887,0.025749610210133375,0.023954716497937956,0.28348684692155,-0.022944464778447058,0.07823806117367484,0,500,heteroskedastic
-0.030237432360856603,0.027639684862917808,0.028050645135124973,0.274489914846485,-0.08454219868796145,0.024067333966248237,0,500,heteroskedastic
0.04109557948930665,0.02714393223569991,0.02732822178063531,0.13066334140540983,-0.012235162325194747,0.09442632130380804,0,500,heteroskedastic
0.02110249108305801,0.02892381970680507,0.028414160185594967,0.46598466721203013,-0.035725265031218714,0.07793024719733473,0,500,heteroskedastic
0.023986284480613435,0.028962048941895142,0.029108137165188556,0.40795561717285733,-0.03291658210213377,0.08088915106336064,0,500,heteroskedastic
0.004070097780137132,0.029260295599509135,0.029071060362597188,0.8894276128970378,-0.053418745637363985,0.061558941197638245,0,500,heteroskedastic
0.04940304607775632,0.02726040961069326,0.02733945414857524,0.07054758931564709,-0.0041565433760282,0.10296263553154084,0,500,heteroskedastic
0.0074182074861549666,0.02693863276461144,0.025558256616796757,0.7831428952452351,-0.045509174454316355,0.06034558942662629,0,500,heteroskedastic
-0.012962506011668862,0.029054809744035275,0.028540060038838574,0.6556902020439006,-0.0700476233584721,0.044122611335134385,0,500,heteroskedastic
0.06522762491833449,0.03088429770858507,0.03205098275334499,0.03518382714372775,0.004548041248710832,0.12590720858795815,1,500,heteroskedastic
0.028917409890952938,0.02880069448077138,0.028452523632177998,0.3158409033790984,-0.027668437291948737,0.08550325707385462,0,500,heteroskedastic
-0.004324399287479698,0.02935947140618351,0.02895388776337681,0.8829615872970957,-0.062008097278521176,0.05335929870356178,0,500,heteroskedastic
0.012228832555739522,0.027626199873801036,0.02647332506393847,0.6582086183045021,-0.042049439287562704,0.06650710439904174,0,500,heteroskedastic
0.032921238561679826,0.02759633207316492,0.026621259078537077,0.233454251226178,-0.021298350849377125,0.08714082797273678,0,500,heteroskedastic
0.0526676903126234,0.03308441412611103,0.03335481476903465,0.11203754296213395,-0.012334547849579797,0.1176699284748266,0,500,heteroskedastic
0.02259798510259753,0.028822874958009857,0.02995849814859715,0.4333955300872656,-0.034031440928595405,0.07922741113379046,0,500,heteroskedastic
-0.010922726176348707,0.028159005757988225,0.02835677788892928,0.6982597822228693,-0.06624782251066785,0.04440237015797043,0,500,heteroskedastic
0.034539666972395994,0.028124516037766,0.028314594329230076,0.21999022220445008,-0.02071766606409091,0.0897970000088829,0,500,heteroskedastic
-0.014838108644119975,0.02871206894927304,0.028737778834101845,0.6055322190831156,-0.07124982979040068,0.04157361250216072,0,500,heteroskedastic
0.03714272861466529,0.028122267331680963,0.029016955950781128,0.18718844313079763,-0.018110186301315098,0.09239564353064568,0,500,heteroskedastic
-0.06861790559099451,0.032480516744267635,0.03474304844757485,0.035133257701927774,-0.13243364302537813,-0.0048021681566109,1,500,heteroskedastic
-0.028001432523552406,0.028670027217344372,0.028258449371129448,0.32920195797512997,-0.0843305526402014,0.02832768759309658,0,500,heteroskedastic
0.0027890609528048015,0.031577664832480326,0.03168984853968596,0.9296547887798552,-0.05925280813464376,0.06483093004025337,0,500,heteroskedastic
-0.062335029758305176,0.029128710805900265,0.02679966902825612,0.03284116547541648,-0.11956534340223723,-0.00510471611437311,1,500,heteroskedastic
0.03367200631040745,0.027622800844334647,0.027507856316803785,0.22342385997717157,-0.02059958732719791,0.0879435999480128,0,500,heteroskedastic
-0.006961634964179607,0.02958457482324415,0.029932621729229707,0.8140625389843471,-0.06508760241391927,0.05116433248556005,0,500,heteroskedastic
-0.002509706901255168,0.028424229064840895,0.028728746063547684,0.9296779977658365,-0.058355897805739236,0.0533364840032289,0,500,heteroskedastic
0.014182479282146939,0.0290025994477858,0.029716670092805066,0.6250519049859924,-0.04280005846030269,0.07116501702459656,0,500,heteroskedastic
-0.00258181438870609,0.027553816712348654,0.02729182840396819,0.9253845283155857,-0.05671787221299241,0.05155424343558023,0,500,heteroskedastic
-0.11481748206374942,0.02885558702832209,0.028208701282449913,7.947785331306571e-05,-0.17151117877469835,-0.05812378535280048,1,500,heteroskedastic
-0.031836866910587625,0.02884758209980151,0.029251152966009934,0.2702895205904359,-0.08851483602641633,0.02484110220524107,0,500,heteroskedastic
-0.02536676446326626,0.029716507828707717,0.02903558113379394,0.3937230074860574,-0.08375194583198023,0.033018416905447705,0,500,heteroskedastic
-0.018779463732735046,0.03029833105761663,0.030149112553985873,0.5356608250604062,-0.07830777588048224,0.04074884841501214,0,500,heteroskedastic
-0.02860310993372151,0.029444055427249458,0.02995647121863328,0.33180119606645375,-0.08645299344828739,0.029246773580844362,0,500,heteroskedastic
-0.018527555080472605,0.028558869165496048,0.026951852076316094,0.5167992800706576,-0.07463827863938449,0.037583168478439274,0,500,heteroskedastic
-0.04620639430441723,0.0292897993377781,0.029564853787247783,0.11530186954803154,-0.10375320486663864,0.011340416257804173,0,500,heteroskedastic
0.04167493125680749,0.02888692187947836,0.027518964092794918,0.1497359012905091,-0.015080330257733657,0.09843019277134864,0,500,heteroskedastic
0.011772151563721564,0.028330483625414977,0.027210278307965463,0.677933308606534,-0.043889854021447,0.06743415714889013,0,500,heteroskedastic
-0.010957442366301215,0.028250430094158476,0.027150938334776106,0.6982793337068103,-0.06646216365788594,0.04454727892528352,0,500,heteroskedastic
-0.02639648815478836,0.028181391221166557,0.028369915526369045,0.34938553936386596,-0.08176556608126574,0.028972589771689025,0,500,heteroskedastic
0.07558026922896624,0.030449368513350512,0.030351835385457757,0.013387346239377486,0.0157552079040505,0.135405330553882,1,500,heteroskedastic
-0.004495789546389727,0.028987227217578824,0.029809089749159315,0.8768088416049915,-0.06144812486889656,0.05245654577611711,0,500,heteroskedastic
-0.02911559220409011,0.030153732011690717,0.030306762882726424,0.3347271623860357,-0.08835980496940679,0.030128620561226567,0,500,heteroskedastic
0.010329489477679202,0.025978094040188603,0.025202800286558403,0.691078431200325,-0.04071068458626892,0.06136966354162732,0,500,heteroskedastic
-0.023022290234898383,0.02838496004481585,0.028200374401849485,0.41771088946240886,-0.07879132776491632,0.03274674729511956,0,500,heteroskedastic
-0.020017217280825443,0.028571152184273217,0.029382389489485912,0.4838740180787586,-0.07615207376555735,0.03611763920390646,0,500,heteroskedastic
0.03714904017242061,0.026420653471395474,0.027611996260152778,0.1603297538224743,-0.014760647658299472,0.08905872800314069,0,500,heteroskedastic
-0.0018070777678834242,0.027833022040801927,0.02793750217850586,0.9482592310024331,-0.05649170118523407,0.052877545649467214,0,500,heteroskedastic
0.03662787553615053,0.029688442157708647,0.028984830025772585,0.21788103476819795,-0.021702164114668424,0.09495791518696949,0,500,heteroskedastic
-0.018833208407143316,0.027118415004095817,0.02811427910629116,0.48770482829010553,-0.07211381552197474,0.034447398707688114,0,500,heteroskedastic
0.003561670851564759,0.0276843750486044,0.028407475992510936,0.8976843674740522,-0.05083090002551457,0.057954241728644086,0,500,heteroskedastic
0.03807112168908137,0.028378905628220114,0.028329064953074197,0.18036021660511412,-0.017686020492631807,0.09382826387079454,0,500,heteroskedastic
-0.018927550808451918,0.02904334028652396,0.02800527203633729,0.5148952282924846,-0.07599013366496919,0.038135032048065357,0,500,heteroskedastic
0.006084952529633491,0.02846044818234586,0.02816131759594174,0.830787552453623,-0.04983239948694125,0.06200230454620824,0,500,heteroskedastic
0.022835184702917125,0.028272953212527763,0.027186125502462882,0.4196668242235493,-0.03271378863734574,0.07838415804317998,0,500,heteroskedastic
-0.014984588875279658,0.02763722613588739,0.02809871196283014,0.587931110831299,-0.06928452444553936,0.03931534669498005,0,500,heteroskedastic
-0.02505638948539822,0.030022898600463113,0.029364139636958126,0.4043566651257847,-0.08404354874740144,0.033930769776604995,0,500,heteroskedastic
0.02361987798080061,0.030041486781192707,0.03123909781715156,0.4320996901384907,-0.03540380220450448,0.08264355816610569,0,500,heteroskedastic
0.01951298386723354,0.02762186601005629,0.027108627027355548,0.4802495876667695,-0.03475677306502252,0.0737827407994896,0,500,heteroskedastic
-0.01595945164884673,0.02797503438678135,0.027678956332662746,0.5686033304011826,-0.07092309225840578,0.039004188960712324,0,500,heteroskedastic
