beta_hat,se_classic,se_robust,p_value,ci_low,ci_high,reject,n,scenario
-0.02601212597412683,0.015674579467469425,0.015003372947543097,0.09764256301685752,-0.05680858329548227,0.00478433134722862,0,500,baseline
-0.010679814949937274,0.015050643520898332,0.015168395271585939,0.4782893309473635,-0.04025040099418992,0.01889077109431537,0,500,baseline
0.007939963856564248,0.014806690999984825,0.014781670445211031,0.5920310169870623,-0.02115131915985649,0.03703124687298499,0,500,baseline
-0.0067942985874754475,0.015265100104548634,0.014691532221739865,0.6564502310315959,-0.03678623584177981,0.02319763866682892,0,500,baseline
0.012834525955657683,0.014247843613056976,0.014165507687302972,0.3681275267409606,-0.01515876781413652,0.04082781972545189,0,500,baseline
0.013044051217708623,0.013773297173580381,0.013474477299117164,0.3440707510874127,-0.014016882663217597,0.040104985098634846,0,500,baseline
-0.0031639837884596908,0.014706555384477127,0.014172630636441428,0.8297454253637149,-0.032058526457509035,0.02573055888058965,0,500,baseline
0.025307447286322587,0.014547241280327456,0.014353753021784318,0.08253421854245466,-0.0032740847517673914,0.05388897932441257,0,500,baseline
0.012053080352188428,0.015338725826313657,0.01534856793510943,0.4323618284423185,-0.018083512227816786,0.04218967293219364,0,500,baseline
0.007784115683086715,0.015619703947527779,0.015556604102137581,0.618455757015858,-0.022904525565028783,0.038472756931202216,0,500,baseline
0.004671384312018763,0.015635275951133832,0.016256249210170933,0.7652385664030927,-0.026047851858624457,0.035390620482661984,0,500,baseline
0.024832785465069396,0.014468855356192472,0.014480749242208393,0.08673042535516619,-0.0035947386921566654,0.05326030962229546,0,500,baseline
-0.0024522030795414793,0.014149867083560386,0.013802904675920168,0.8624843116277272,-0.03025299854241789,0.02534859238333493,0,500,baseline
-0.009967288295453233,0.015513045637528353,0.015139826905588474,0.5208377203083541,-0.040446373804055455,0.020511797213148986,0,500,baseline
0.034049930664184214,0.016148690871275757,0.016342922414081675,0.035484363999032084,0.002321968185501129,0.0657778931428673,1,500,baseline
0.01394475363198877,0.0153269766999709,0.015507884042722696,0.36335881875926157,-0.01616875498147502,0.04405826224545256,0,500,baseline
-0.0011207830478420556,0.01544790736525201,0.015114502355007756,0.9421914203092288,-0.03147188885361981,0.029230322757935696,0,500,baseline
0.0016741993289298707,0.014905154891158174,0.01479888841039767,0.9106121609112825,-0.02761053953289379,0.030958938190753533,0,500,baseline
0.014355020195326203,0.014907862833827284,0.014534564019556433,0.33605698127607186,-0.014935039067023103,0.04364507945767551,0,500,baseline
0.022469345203109774,0.017533595820972792,0.01808452829442787,0.20061360820572557,-0.011979594017947397,0.056918284424166944,0,500,baseline
0.006533265464278806,0.015408362416355325,0.016101756047676632,0.6717432313038614,-0.023740144838822183,0.036806675767379796,0,500,baseline
-0.0014153046599175746,0.015024058856044254,0.015293482761348925,0.9249861479729209,-0.03093365877678229,0.02810304945694714,0,500,baseline
0.021307067793940482,0.015078128447303123,0.01510494789363404,0.15824781794173162,-0.00831751895666364,0.050931654544544604,0,500,baseline
-0.008795790206863566,0.015120090899766845,0.015039517419805241,0.5610126903454602,-0.038502822223644075,0.020911241809916943,0,500,baseline
0.019460130998161462,0.01525474346943918,0.015604184123168217,0.20266429917675383,-0.010511458171410994,0.04943172016773392,0,500,baseline
-0.03695145652615331,0.01691450103583304,0.018208289582707548,0.029383533679401462,-0.07018403608869467,-0.003718876963611957,1,500,baseline
-0.014125413641944806,0.015357766241928424,0.015335780929688105,0.3581450267644942,-0.04429941566876025,0.016048588384870638,0,500,baseline
0.003845243129182954,0.016711568678801685,0.016732246469561687,0.8181126776354044,-0.028988627320593464,0.03667911357895937,0,500,baseline
-0.03786705135956185,0.015484880962002208,0.01452834818040736,0.014813589069715357,-0.06829080063221524,-0.007443302086908472,1,500,baseline
0.026000251453584425,0.014601536025941173,0.014237865398022978,0.07557886298708523,-0.0026879555877831127,0.054688458494951964,0,500,baseline
0.002645726937498998,0.015549947577390163,0.01588883437021839,0.8649661576255363,-0.027905861250896835,0.03319731512589483,0,500,baseline
0.002322539042751103,0.01563906031814779,0.015785576254554543,0.8820013072529134,-0.028404132421290293,0.0330492105067925,0,500,baseline
0.012687131998666754,0.015667799812939812,0.015992973243395395,0.418465804861474,-0.018096005071143315,0.04347026906847683,0,500,baseline
-0.00035250072850757583,0.015154188021359321,0.015211993607756642,0.9814514421626355,-0.030126524689287795,0.029421523232272644,0,500,baseline
-0.060782765531052635,0.015441711000097917,0.01526015340629982,9.453594007466688e-05,-0.09112169709665945,-0.030443833965445827,1,500,baseline
-0.0163727363083899,0.015456672998789002,0.015920172690535302,0.28999190962156995,-0.04674106429608819,0.013995591679308389,0,500,baseline
-0.012535429559419414,0.015619893069289984,0.015037862785551786,0.4226293766159953,-0.04322444238243364,0.018153583263594817,0,500,baseline
-0.012624844462568176,0.015737441944063107,0.015501293492427863,0.42281005297683993,-0.0435448101422531,0.018295121217116746,0,500,baseline
-0.010645943353957694,0.015797537407799104,0.015872714936148096,0.500688242827021,-0.04168398093394422,0.020392094226028838,0,500,baseline
-0.01298583385587321,0.014974814280718443,0.014956486504690699,0.38626196935021806,-0.04240743523589564,0.016435767524149214,0,500,baseline
-0.022742192573323668,0.01583717619563676,0.015798956099276,0.15163004161051816,-0.05385811002501241,0.008373724878365078,0,500,baseline
0.020630825152825584,0.015367383501932903,0.014999133687517516,0.1800431878079099,-0.009562072279629994,0.05082372258528116,0,500,baseline
0.006862080647920612,0.015376101684455221,0.014645905799594542,0.6555873872978462,-0.023347945737597187,0.03707210703343841,0,500,baseline
-0.005364477307852986,0.014844777714830856,0.014552860065099276,0.7179751258962783,-0.03453059077766488,0.02380163616195891,0,500,baseline
-0.01436473579518702,0.014907508940298488,0.014796218430348267,0.3357188698346051,-0.04365409974912448,0.014924628158750439,0,500,baseline
0.03449331993207609,0.016241717571731887,0.016184050724012397,0.034183498981526506,0.0025825842685500283,0.06640405559560215,1,500,baseline
-0.002433883951471455,0.015670884701346786,0.01576194626640739,0.8766379084220716,-0.033223082021792805,0.028355314118849898,0,500,baseline
-0.018779329937758677,0.016196165851820942,0.015881303397950363,0.24681119122856532,-0.05060056836143449,0.013041908485917141,0,500,baseline
