beta_hat,se_classic,se_robust,p_value,ci_low,ci_high,reject,n,scenario
-0.014272358765847292,0.04093498640676689,0.046460251025611396,0.7280931301550114,-0.09550650703747522,0.06696178950578065,0,100,non_normal
-0.04484223519724059,0.03506095976609085,0.03488668767268484,0.20392465797102177,-0.11441956877401158,0.02473509837953039,0,100,non_normal
-0.006771099589750022,0.03622730980825335,0.0303087642049406,0.852120770143435,-0.07866301686566168,0.06512081768616165,0,100,non_normal
-0.01106154045430197,0.036077800191944176,0.02929632029448113,0.7597964987250233,-0.08265676076252425,0.060533679853920316,0,100,non_normal
-0.011908479198143694,0.03631104532921829,0.03345079971612838,0.7436434424951932,-0.08396656689018975,0.06014960849390236,0,100,non_normal
-0.020736343052178342,0.035418123291009684,0.033600337123062575,0.5595757424920584,-0.09102245602005907,0.049549769915702375,0,100,non_normal
-0.010635454905398637,0.03480802710428986,0.03134079223623806,0.7605983737476631,-0.07971085184666403,0.05843994203586676,0,100,non_normal
-0.016615052408987932,0.034105534514262764,0.033238662010738995,0.6272287095336753,-0.08429637566836864,0.05106627085039278,0,100,non_normal
-0.06270176794530243,0.03600516839944456,0.03592019169595537,0.08473991293937541,-0.13415285282515255,0.008749316934547696,0,100,non_normal
-0.023372375917320436,0.03296130587128817,0.033828262470701274,0.479955096005086,-0.08878301467429525,0.042038262839654374,0,100,non_normal
-0.012853797284802921,0.03485265302057227,0.03503443542132215,0.7130693966360653,-0.08201775290455474,0.0563101583349489,0,100,non_normal
0.03348972730417215,0.03265517870177394,0.029106264142714958,0.3076255140504828,-0.03131341204798591,0.09829286665633022,0,100,non_normal
-0.01419994350847989,0.034516336128143255,0.03213063762388976,0.6816792056661907,-0.0826964892008324,0.054296602183872625,0,100,non_normal
0.004019334350200722,0.03423542757901285,0.041188529286268816,0.9067811618939821,-0.06391975746873227,0.07195842616913373,0,100,non_normal
-0.011030707009958937,0.03516418668098811,0.03894873744049481,0.7544220685999184,-0.08081289103976441,0.05875147701984654,0,100,non_normal
-0.002368162513924861,0.03418196309219194,0.033719697986903836,0.9449070743598142,-0.07020115579879413,0.06546483077094442,0,100,non_normal
0.04492104289001778,0.033025582003357305,0.03268469138376945,0.17689070779702562,-0.020617149759144658,0.11045923553918022,0,100,non_normal
0.004135103836512517,0.035799527440977925,0.030588748936197882,0.9082794492712715,-0.06690789325396346,0.07517810092698848,0,100,non_normal
-0.027827388301605624,0.034769732887886186,0.03111405047407527,0.4254533938241686,-0.09682679161672515,0.041172015013513905,0,100,non_normal
0.03940688087996552,0.03446544557521536,0.02874557571868828,0.2556688730969789,-0.028988674166363804,0.10780243592629485,0,100,non_normal
